"year" "month" "y" "duration" "Ngillnets" "TC.tspp" "bathymetry" "X" "Y" "latitude" "longitude"
2008 7 0 1142.32 40.98 6376.66 -814.35 980.744064583783 7497.04118692311 67.2 -57.8333333333333
2008 7 2 2316.13 42.88 5037.3 -769.17 983.838644208237 7488.13522468594 67.1166666666667 -57.8
2008 7 1 2266.44 42.34 2281 -725.46 978.459941419921 7485.26645510239 67.1 -57.9333333333333
2008 7 0 2427.84 42.71 3316.6 -812.59 984.841644157878 7482.63600422376 67.0666666666667 -57.8
2008 7 0 1146.32 44.29 3344.91 -1084.82 968.200358699171 7489.1136371139 67.15 -58.15
2008 7 0 1262.1 43.67 2754.48 -1197.8 967.552217901586 7492.78277930456 67.1833333333333 -58.15
2008 7 0 1380.4 44.87 5264.99 -911.55 981.077638048121 7495.20802780153 67.1833333333333 -57.8333333333333
2008 7 0 1567.51 46.01 3688.65 -892.06 975.435563330951 7497.97375736711 67.2166666666667 -57.95
2008 7 0 1797.98 39.75 4300.83 -930.36 982.123246960536 7493.50450717453 67.1666666666667 -57.8166666666667
2008 7 0 1798.44 45 4068.13 -867.46 975.383981047645 7494.17837952228 67.1833333333333 -57.9666666666667
2008 7 0 1738.76 41.48 6242.78 -812.42 978.181377755365 7490.89595766574 67.15 -57.9166666666667
2008 7 0 1964.18 38.4 4015.78 -886.7 975.001205420472 7492.21670554412 67.1666666666667 -57.9833333333333
2008 8 0 1481.34 37.29 5174.48 -889.57 980.410452250835 7498.87433550932 67.2166666666667 -57.8333333333333
2008 8 0 1570.31 44.24 3662.82 -939.48 971.112535576725 7493.41424827727 67.1833333333333 -58.0666666666667
2008 8 0 1722.83 46.09 4135.73 -862.58 981.789215313314 7495.33760219375 67.1833333333333 -57.8166666666667
2008 8 0 1286.69 45.01 4688.43 -812.14 980.744064583783 7497.04118692311 67.2 -57.8333333333333
2008 8 0 1678.49 43.48 4734.74 -875.52 975.435563330951 7497.97375736711 67.2166666666667 -57.95
2008 8 0 1412.09 44.62 4335.16 -795.11 982.835292295612 7493.63434928842 67.1666666666667 -57.8
2008 8 0 1562.36 41.88 3510.27 -820.83 976.095788761194 7494.30641015495 67.1833333333333 -57.95
2008 8 0 1323.86 39.68 2913.56 -798 982.457239633824 7491.67140156528 67.15 -57.8166666666667
2008 8 0 1422.93 40.42 4911.97 -757.23 977.468633236679 7490.76739320858 67.15 -57.9333333333333
2008 8 0 1535.41 37.97 4210.83 -836.2 983.50423264086 7489.96827686286 67.1333333333333 -57.8
2008 8 0 1333.32 41.27 1293.35 -932.22 985.221850881562 7484.59949728804 67.0833333333333 -57.7833333333333
2008 8 0 1518.79 46.03 1815.63 -851.35 983.838644208237 7488.13522468594 67.1166666666667 -57.8
2008 8 0 976.24 37.08 9441.04 -854.95 885.441528272571 7649.01308008679 68.6833333333333 -59.4666666666667
2008 8 1 1148.75 28.25 9073 -990.38 880.097462006521 7661.36942649387 68.8 -59.55
2008 8 0 1401.36 13.07 2486.2 -1261.09 878.951595901521 7655.54074429698 68.75 -59.6
2008 8 1 1608.76 36.05 6986.05 -930.63 883.050127404993 7646.75611525852 68.6666666666667 -59.5333333333333
2008 8 0 1771.24 12.53 5547.65 -970.47 880.086852500432 7648.18129883546 68.6833333333333 -59.6
2008 8 1 2208.24 30.3 6211.37 -873.48 881.608891396157 7642.7651816598 68.6333333333333 -59.5833333333333
2008 8 0 1496.28 38.43 6720.61 -829.91 980.410452250835 7498.87433550932 67.2166666666667 -57.8333333333333
2008 8 0 1529.87 43.08 3019.41 -979.93 970.785922305654 7495.2484410159 67.2 -58.0666666666667
2008 8 0 2076.25 11.3 1994.42 -1124.11 878.360683084622 7646.03232218376 68.6666666666667 -59.65
2008 8 0 2402.75 48.15 6103.33 -916.31 882.177147986617 7639.08551756599 68.6 -59.5833333333333
2008 8 0 2957.33 36.41 6463.34 -1115.09 878.42628847941 7636.62606353954 68.5833333333333 -59.6833333333333
2008 8 0 1303.46 44.21 5236.88 -919.36 983.838644208237 7488.13522468594 67.1166666666667 -57.8
2008 8 0 1488.94 43.81 4874.66 -817.85 981.789215313314 7495.33760219375 67.1833333333333 -57.8166666666667
2008 8 0 2472.15 22.12 3431.26 -786.03 879.943366506859 7631.20833424811 68.5333333333333 -59.6666666666667
2008 8 0 2589.17 24.63 3386.53 -973.37 878.314758054104 7632.84282331687 68.55 -59.7
2008 8 2 3344.6 47.85 5782.27 -1063.88 877.13070068734 7627.01411085233 68.5 -59.75
2008 8 0 2561.5 41.3 9428.57 -856.07 938.567391499603 7418.01253087911 66.5666666666667 -59.0833333333333
2008 8 0 1078.28 41.33 5217.81 -781.09 952.750554183317 7441.09541110708 66.75 -58.6833333333333
2008 8 0 2002.7 40.24 2281.19 -726.13 983.018805688307 7455.79678048924 66.8333333333333 -57.95
2008 8 0 1999.39 38.76 2806.73 -802.33 985.965998877694 7460.11460917662 66.8666666666667 -57.8666666666667
2008 8 0 2474.69 42.86 4871.52 -741.52 941.929652689303 7420.4404914093 66.5833333333333 -59
2008 8 0 2172.27 38.01 4794.86 -839.35 942.363045710976 7422.39725098159 66.6 -58.9833333333333
2008 8 0 1883.11 38.51 9846.73 -786.84 941.037106417825 7425.95562287287 66.6333333333333 -59
2008 8 0 954.34 40.6 4701.9 -721.49 945.844670436883 7428.62536211581 66.65 -58.8833333333333
2008 8 0 1140.46 38.39 4677.81 -900.8 942.628486700669 7429.98726587746 66.6666666666667 -58.95
2008 8 0 1537 43.72 3302.1 -845.52 947.427002173322 7432.65999566998 66.6833333333333 -58.8333333333333
2008 8 0 738.53 38.42 3170.52 -936.69 946.396685683814 7434.37792422335 66.7 -58.85
2008 8 0 1349.28 40.53 2572.39 -816.72 951.911086971646 7437.17860892773 66.7166666666667 -58.7166666666667
2008 8 0 1229.11 40.82 1616.08 -981.23 975.435563330951 7497.97375736711 67.2166666666667 -57.95
2008 8 0 1716.91 41.06 1561.43 -936.44 976.807567823793 7494.4346337625 67.1833333333333 -57.9333333333333
2008 8 0 1302.09 42.28 1562.42 -780 981.744668260738 7491.5416779275 67.15 -57.8333333333333
2008 8 0 1405.53 42.88 1743.4 -803.08 975.765695304413 7496.14008888173 67.2 -57.95
2008 8 0 950.38 44.21 1403.35 -1087.39 968.457651588967 7483.48377437678 67.1 -58.1666666666667
2008 8 0 1491.09 39.78 1608.73 -904.79 977.850367309317 7492.72950917327 67.1666666666667 -57.9166666666667
2008 8 0 2413.85 43.07 7673.77 -1068.28 882.192799972749 7652.27493487375 68.7166666666667 -59.5333333333333
2008 8 1 1401.06 40.47 2437.08 -1072.62 967.487216377624 7488.98777760417 67.15 -58.1666666666667
2008 8 0 1461.94 45.54 3671.36 -1243.76 967.487216377624 7488.98777760417 67.15 -58.1666666666667
2008 8 0 1741.42 41.58 3394.98 -854.46 944.386186312048 7428.38684233172 66.65 -58.9166666666667
2008 8 0 1530.56 38.86 3600.31 -924.48 941.89964880343 7429.86875997357 66.6666666666667 -58.9666666666667
2008 8 0 1307.91 37.15 1146.26 -873.7 981.121035207435 7499.00376048698 67.2166666666667 -57.8166666666667
2008 8 0 1292.84 40.41 1946.91 -1001.21 970.785922305654 7495.2484410159 67.2 -58.0666666666667
2008 8 0 1481.61 41.61 4172.56 -765.5 948.3945362119 7440.37047641297 66.75 -58.7833333333333
2008 8 0 1689.02 39.75 2472.19 -984.28 947.364648590982 7442.08785022671 66.7666666666667 -58.8
2008 8 0 1372.17 38.12 1516.03 -761.26 981.455144719747 7497.17068662916 67.2 -57.8166666666667
2008 8 0 1324.38 42.53 2071.79 -860.23 976.372538872237 7488.67706076623 67.1333333333333 -57.9666666666667
2008 8 0 1770.88 44.68 4599.37 -837.49 942.757976783762 7433.78212606978 66.7 -58.9333333333333
2008 8 0 1949.22 38.14 4490.88 -854.11 941.89964880343 7429.86875997357 66.6666666666667 -58.9666666666667
2008 8 0 1768.81 38.05 1677.68 -888.71 947.785924542022 7444.0453546661 66.7833333333333 -58.7833333333333
2008 8 0 1842.43 21.53 1362.76 -805.5 949.961077537065 7444.40653631031 66.7833333333333 -58.7333333333333
2008 8 0 2115.55 20.22 1419.95 -844.76 953.277469897636 7446.84930605798 66.8 -58.65
2008 8 0 1827.11 45.24 2333.8 -803.07 940.604255258449 7423.99914131477 66.6166666666667 -59.0166666666667
2008 8 0 2022.43 43.04 2246.09 -917.75 956.588193000174 7449.2962767147 66.8166666666667 -58.5666666666667
2008 8 0 1969.76 44.82 2053.24 -837.54 954.107424886471 7450.76636540362 66.8333333333333 -58.6166666666667
2008 8 0 1624.31 31.35 6083.01 -870.67 882.095036438034 7648.49184666359 68.6833333333333 -59.55
2008 8 0 1997.16 13.91 2655.1 -1208.82 878.465180570165 7649.81518207966 68.7 -59.6333333333333
2008 8 0 1751.06 44.22 3070.62 -890.27 942.458261554992 7435.62019291967 66.7166666666667 -58.9333333333333
2008 8 0 1967.65 45.16 3169.41 -864.33 938.55120637829 7427.44062927829 66.65 -59.05
2008 8 0 2441.62 43.7 3191.43 -809.15 986.40950486552 7465.87604399919 66.9166666666667 -57.8333333333333
2008 8 1 2597.48 43.57 2648.72 -768.78 989.671406838413 7468.36476722201 66.9333333333333 -57.75
2008 8 0 1923.08 48.29 9079.64 -1112.17 877.690666969683 7645.92965442503 68.6666666666667 -59.6666666666667
2008 8 0 2095.39 44.78 2458.21 -762.03 939.873826610306 7423.88122590674 66.6166666666667 -59.0333333333333
2008 8 0 2280.32 40.87 4043.58 -812.55 940.901275180845 7422.16069890302 66.6 -59.0166666666667
2008 8 0 2276.96 42.59 5025.68 -826.61 938.862321593642 7416.17380545695 66.55 -59.0833333333333
2008 8 0 1635.9 41.04 5332.85 -1027.87 969.362874319781 7494.995420297 67.2 -58.1
2008 8 0 1774.37 42.97 4439.4 -1208.03 967.615050863511 7496.57764523632 67.2166666666667 -58.1333333333333
2008 8 2 2437.49 38.11 1376.45 -955.45 914.2401235585 7434.9359208897 66.75 -59.5666666666667
2008 8 1 2107 37.95 1437.77 -897.82 908.144097370643 7435.89497660771 66.7666666666667 -59.7
2008 8 0 1620.72 31.98 6880.29 -1004.22 881.239121172871 7654.01084628519 68.7333333333333 -59.55
2008 8 0 1931.16 9.59 1444.22 -1112.95 878.000772437132 7657.27776873497 68.7666666666667 -59.6166666666667
2008 8 0 1947.85 38.86 6108.88 -873.52 940.441894934756 7429.63233779088 66.6666666666667 -59
2008 8 0 1721.09 44.9 6584.48 -892.76 932.707716766029 7435.93384333437 66.7333333333333 -59.15
2008 8 0 2088.6 42.7 2877.57 -939.98 918.443025244726 7431.81313761951 66.7166666666667 -59.4833333333333
2008 8 0 2109.27 42.34 2781.16 -965.01 914.073686438516 7431.14390412577 66.7166666666667 -59.5833333333333
2008 8 4 1606.62 45.58 3817.64 -909.55 882.380278712284 7646.65216782276 68.6666666666667 -59.55
2008 8 0 1026.38 35.05 2459.46 -871.64 908.345673114845 7424.62996309566 66.6666666666667 -59.7333333333333
2008 8 0 1957.52 42.03 2420.56 -707.29 907.340308905903 7426.36187455528 66.6833333333333 -59.75
2008 8 0 1877.87 42.02 5667.03 -1054.16 875.849337403912 7639.99958190839 68.6166666666667 -59.7333333333333
2008 8 0 1426.33 43.47 4635.25 -1026.39 881.239121172871 7654.01084628519 68.7333333333333 -59.55
2008 8 0 1582.08 40.23 6441.88 -923.95 939.118614795079 7433.19123582719 66.7 -59.0166666666667
2008 8 0 1593.01 45.12 4340.14 -966.44 942.757976783762 7433.78212606978 66.7 -58.9333333333333
2008 8 0 1554.65 46.06 3274.71 -851.01 948.090248683589 7442.20791971409 66.7666666666667 -58.7833333333333
2008 8 0 1611.34 41.58 3922.56 -904.55 938.984037261955 7429.39670178065 66.6666666666667 -59.0333333333333
2008 8 0 1790.82 41.4 1386.76 -751.85 949.718408499573 7414.16229100775 66.5166666666667 -58.85
2008 8 1 1172.83 40.31 2599.89 -890.15 951.828653659759 7446.60650107029 66.8 -58.6833333333333
2008 8 0 1305.03 39.98 2124.28 -740.23 963.731428844837 7446.73492981931 66.7833333333333 -58.4166666666667
2008 8 0 1458.21 42.35 2095.58 -915.92 958.035639459016 7449.5416828506 66.8166666666667 -58.5333333333333
2008 8 0 2884.9 25.3 5058.41 -824.7 880.267018009747 7642.55830383387 68.6333333333333 -59.6166666666667
2008 8 1 3042.01 12.7 2979.2 -1024.78 878.360683084622 7646.03232218376 68.6666666666667 -59.65
2008 8 0 1310.68 38.04 613.67 -691.56 902.046038262248 7421.81196678913 66.65 -59.8833333333333
2008 8 0 1427.92 38.52 1120.24 -811.31 906.429884236889 7422.461444275 66.65 -59.7833333333333
2008 8 0 1506.17 43.11 3460.13 -903.32 972.920281643383 7495.62941862009 67.2 -58.0166666666667
2008 8 0 1699.64 42.46 2853.73 -839.84 972.920281643383 7495.62941862009 67.2 -58.0166666666667
2008 8 0 1443.54 39.46 3473.55 -876.69 941.334657993505 7424.117253601 66.6166666666667 -59
2008 8 0 1297.77 44.46 2684.51 -869.91 933.434855374507 7436.04992891838 66.7333333333333 -59.1333333333333
2008 8 0 1655.93 45.76 5368.54 -787.94 976.807567823793 7494.4346337625 67.1833333333333 -57.9333333333333
2008 8 0 1520.74 38.4 4063.35 -868.93 980.744064583783 7497.04118692311 67.2 -57.8333333333333
2008 8 1 2729.29 39.94 2735.13 -1067.38 881.809762740892 7650.33151935163 68.7 -59.55
2008 8 2 3269.05 42.39 2268.94 -894.65 881.040509230263 7646.44482136837 68.6666666666667 -59.5833333333333
